step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
100,8.800271,6.00e-06,1162,334.3,0.0726,13.66,9.8081
200,7.873550,1.20e-05,1335,584.9,0.1293,13.66,8.1929
300,7.150514,1.80e-05,1399,836.3,0.1651,13.66,8.3430
400,6.455283,2.40e-05,1422,1085.2,0.2158,13.66,8.4915
500,5.661959,3.00e-05,1436,1334.8,0.3135,13.66,9.0850
600,4.764692,3.60e-05,1447,1584.6,0.4035,13.66,13.9771
700,3.727421,4.20e-05,1473,1834.7,0.5455,13.66,15.2523
800,2.497430,4.80e-05,1496,2084.9,0.7544,13.66,12.4966
900,1.704680,5.40e-05,1514,2335.6,0.8397,13.66,9.4125
1000,1.318968,6.00e-05,1533,2586.6,0.8692,13.66,7.6353
1100,1.079680,6.60e-05,1552,2837.7,0.8840,13.66,5.7635
1200,0.943454,7.20e-05,1569,3088.9,0.8940,13.66,5.0100
1300,0.835398,7.80e-05,1574,3340.1,0.9049,13.66,4.2321
1400,0.757103,8.40e-05,1570,3591.3,0.9131,13.66,3.7127
1500,0.696486,9.00e-05,1566,3842.6,0.9176,13.66,3.3572
1600,0.687564,9.60e-05,1566,4093.7,0.9188,13.66,2.9319
1700,0.653273,1.02e-04,1569,4344.5,0.9233,13.66,2.6538
1800,0.630410,1.08e-04,1571,4595.6,0.9249,13.66,2.6499
1900,0.597530,1.14e-04,1576,4847.0,0.9295,13.66,2.2612
2000,0.577262,1.20e-04,1583,5098.4,0.9325,13.66,1.8740
2100,0.551420,1.26e-04,1591,5349.4,0.9342,13.66,1.9302
2200,0.529300,1.32e-04,1598,5600.2,0.9358,13.66,1.7865
2300,0.527219,1.38e-04,1601,5851.0,0.9368,13.66,1.6639
2400,0.502953,1.44e-04,1603,6101.8,0.9382,13.66,1.7530
2500,0.483242,1.50e-04,1606,6352.4,0.9403,13.66,1.4809
2600,0.489374,1.56e-04,1607,6603.1,0.9383,13.66,1.5751
2700,0.460333,1.62e-04,1610,6853.7,0.9412,13.66,1.3410
2800,0.450399,1.68e-04,1611,7104.1,0.9409,13.66,1.4212
2900,0.417565,1.74e-04,1609,7354.7,0.9457,13.66,1.2642
3000,0.400468,1.80e-04,1606,7605.3,0.9472,13.66,1.3405
3100,0.397147,1.86e-04,1604,7856.1,0.9464,13.66,1.3058
3200,0.411865,1.92e-04,1600,8106.9,0.9461,13.66,1.2425
3300,0.398973,1.98e-04,1596,8357.8,0.9467,13.66,1.2433
3400,0.384145,2.04e-04,1593,8609.3,0.9478,13.66,1.2359
3500,0.388777,2.10e-04,1589,8860.5,0.9478,13.66,1.2425
3600,0.386619,2.16e-04,1586,9113.6,0.9473,13.66,1.3678
3700,0.375234,2.22e-04,1583,9369.9,0.9486,13.66,1.3451
3800,0.372864,2.28e-04,1582,9625.6,0.9489,13.66,1.1503
3900,0.372783,2.34e-04,1585,9877.4,0.9490,13.66,1.0570
4000,0.362076,2.40e-04,1588,10129.3,0.9496,13.66,1.0219
4100,0.330012,2.46e-04,1589,10381.5,0.9534,13.66,0.9221
4200,0.320190,2.52e-04,1588,10633.8,0.9538,13.66,0.9343
4300,0.313114,2.58e-04,1587,10886.0,0.9539,13.66,0.9881
4400,0.313980,2.64e-04,1587,11138.6,0.9537,13.66,0.9364
4500,0.302855,2.70e-04,1587,11391.2,0.9558,13.66,0.8883
4600,0.298781,2.76e-04,1588,11643.8,0.9550,13.66,0.9454
4700,0.286755,2.82e-04,1589,11897.3,0.9568,13.66,0.8479
4800,0.304020,2.88e-04,1589,12150.9,0.9558,13.66,0.9299
4900,0.282633,2.94e-04,1589,12406.3,0.9576,13.66,0.8712
5000,0.273416,3.00e-04,1589,12661.9,0.9585,13.66,0.8721
5100,0.323765,3.00e-04,1588,12918.8,0.9528,13.66,0.9100
5200,0.298888,3.00e-04,1588,13171.5,0.9552,13.66,0.8463
5300,0.285957,3.00e-04,1588,13423.9,0.9568,13.66,0.8456
5400,0.295708,3.00e-04,1590,13676.3,0.9558,13.66,0.8112
5500,0.266712,3.00e-04,1593,13929.0,0.9592,13.66,0.8308
5600,0.261596,3.00e-04,1595,14181.7,0.9596,13.66,0.7457
5700,0.269360,3.00e-04,1598,14434.4,0.9588,13.66,0.7504
5800,0.260110,3.00e-04,1600,14687.1,0.9594,13.66,0.7122
5900,0.249313,3.00e-04,1602,14939.7,0.9607,13.66,0.7793
6000,0.244473,3.00e-04,1604,15192.3,0.9622,13.66,0.6374
6100,0.232236,3.00e-04,1607,15445.0,0.9637,13.66,0.6479
6200,0.229596,3.00e-04,1609,15697.8,0.9635,13.66,0.7024
